X, Y, Z
33, 6624, 22054;
1, 23617, 70857;
45, 11827, 39535;
63, 19241, 65665;
73, 5444, 26994;
5, 17405, 52269;
37, 20726, 64920;
1, 23648, 70950;
88, 19876, 75120;
59, 23080, 76206;
21, 11110, 34216;
93, 26300, 96202;
15, 11408, 34678;
14, 4544, 14028;
27, 28028, 85546;
60, 26357, 86275;
7, 18826, 56580;
85, 7002, 35460;
5, 4452, 13410;
80, 5528, 29388;
45, 343, 5083;
37, 21916, 68490;
3, 20479, 61459;
62, 2646, 15630;
96, 7281, 40279;
92, 3522, 27498;
54, 25951, 83689;
62, 28276, 92520;
95, 26536, 97662;
80, 4122, 25170;
87, 9550, 43792;
82, 8557, 39123;
44, 17532, 56472;
93, 2183, 23851;
66, 24520, 82276;
50, 21835, 70509;
2, 11189, 33579;
79, 13058, 51660;
27, 5500, 17962;
39, 7490, 25516;
36, 16140, 51016;
42, 23572, 74248;
85, 1823, 19923;
43, 2901, 12405;
96, 13743, 59665;
91, 12637, 54477;
13, 21465, 64737;
83, 10463, 45171;
1, 6336, 19014;
78, 25104, 87484;
88, 2533, 23091;
10, 16140, 48624;
1, 20439, 61323;
31, 3957, 13797;
54, 12021, 41899;
67, 28509, 94509;
24, 2123, 7525;
79, 3430, 22776;
60, 15037, 52315;
58, 7207, 28353;
91, 11181, 50109;
21, 29394, 89068;
55, 8355, 31119;
63, 8468, 33346;
58, 18526, 62310;
2, 1293, 3891;
74, 13382, 51102;
94, 23457, 88047;
58, 29171, 94245;
72, 12862, 48958;
0, 24051, 72157;
10, 927, 2985;
67, 5064, 24174;
29, 2256, 8454;
3, 7985, 23977;
26, 21426, 65634;
3, 21163, 63511;
93, 26049, 95449;
62, 26422, 86958;
55, 469, 7461;
82, 18780, 69792;
47, 14166, 46920;
1, 14192, 42582;
76, 2003, 17565;
76, 5396, 27744;
36, 373, 3715;
88, 6141, 33915;
0, 15311, 45937;
98, 12795, 57597;
62, 7721, 30855;
11, 23603, 71055;
31, 14526, 45504;
85, 10159, 44931;
11, 12146, 36684;
33, 14106, 44500;
53, 5864, 23214;
1, 1476, 4434;
76, 5026, 26634;
84, 8173, 38635;
86, 29802, 104202;
83, 12351, 50835;
66, 19441, 67039;
51, 1692, 10282;
1, 19895, 59691;
72, 1770, 15682;
32, 29226, 89730;
20, 22604, 68616;
25, 9746, 30492;
44, 7108, 25200;
63, 2348, 14986;
66, 21461, 73099;
23, 21, 1125;
68, 23454, 79614;
33, 7530, 24772;
16, 11843, 36045;
62, 9774, 37014;
37, 11902, 38448;
26, 13676, 42384;
92, 1879, 22569;
41, 17181, 54909;
70, 2607, 17625;
10, 4683, 14253;
9, 11779, 35503;
56, 19063, 63465;
45, 5103, 19363;
85, 16441, 63777;
37, 13553, 43401;
92, 12582, 54678;
59, 7408, 29190;
45, 454, 5416;
92, 22269, 83739;
98, 183, 19761;
43, 28376, 88830;
24, 19036, 58264;
24, 11190, 34726;
48, 1178, 8146;
63, 26689, 88009;
80, 10964, 45696;
94, 11233, 51375;
77, 10421, 43125;
44, 26938, 84690;
29, 13791, 43059;
95, 1526, 22632;
55, 29153, 93513;
37, 4036, 14850;
58, 22158, 73206;
21, 17056, 52054;
64, 4188, 20760;
40, 17494, 55686;
57, 13834, 48004;
34, 14657, 46287;
18, 9094, 27934;
44, 5721, 21039;
10, 1757, 5475;
37, 21613, 67581;
98, 6036, 37320;
88, 26796, 95880;
27, 24423, 74731;
32, 9834, 31554;
74, 24080, 83196;
95, 28193, 102633;
63, 1658, 12916;
47, 19894, 64104;
55, 294, 6936;
50, 206, 5622;
63, 14270, 50752;
15, 10625, 32329;
76, 17944, 65388;
33, 2174, 8704;
84, 23102, 83422;
36, 24111, 74929;
68, 16860, 59832;
46, 21325, 68211;
32, 17945, 55887;
11, 10711, 32379;
72, 25977, 88303;
44, 26128, 82260;
0, 25857, 77575;
89, 2247, 22587;
35, 1901, 8157;
57, 16090, 54772;
67, 8896, 35670;
2, 10749, 32259;
80, 15178, 58338;
37, 9912, 32478;
34, 11694, 37398;
31, 13231, 41619;
99, 9812, 49042;
13, 24102, 72648;
74, 1852, 16512;
69, 22468, 76930;
73, 19429, 68949;
57, 6551, 26155;
93, 25709, 94429;
75, 14425, 54529;
63, 19449, 66289;
66, 19954, 68578;
77, 24151, 84315;
36, 7229, 24283;
87, 12514, 52684;
93, 19727, 76483;
8, 29350, 88182;
71, 29558, 98760;
68, 6085, 27507;
74, 12862, 49542;
34, 21530, 66906;
85, 11194, 48036;
37, 10523, 34311;
62, 7873, 31311;
14, 2820, 8856;
42, 21750, 68782;
69, 24882, 84172;
9, 17996, 54154;
14, 26060, 78576;
33, 5578, 18916;
22, 10409, 32199;
20, 19340, 58824;
2, 14702, 44118;
75, 28683, 97303;
53, 15607, 52443;
4, 27806, 83454;
77, 29177, 99393;
12, 21824, 65764;
84, 26853, 94675;
10, 2659, 8181;
20, 29455, 89169;
62, 2853, 16251;
12, 3343, 10321;
37, 16114, 51084;
16, 18535, 56121;
48, 24619, 78469;
39, 823, 5515;
3, 26166, 78520;
96, 9806, 47854;
8, 12278, 36966;
64, 4274, 21018;
4, 7756, 23304;
45, 14882, 48700;
42, 14302, 46438;
2, 19209, 57639;
13, 14871, 44955;
45, 19157, 61525;
19, 15215, 46371;
53, 29785, 94977;
99, 17132, 71002;
37, 10608, 34566;
46, 952, 7092;
92, 18916, 73680;
77, 21782, 77208;
51, 29070, 92416;
38, 28096, 87180;
39, 25022, 78112;
62, 19538, 66306;
36, 6621, 22459;
10, 27420, 82464;
79, 25424, 88758;
36, 16468, 52000;
10, 21664, 65196;
68, 1322, 13218;
78, 4056, 24340;
26, 20800, 63756;
43, 16431, 52995;
30, 4490, 15274;
68, 6887, 29913;
7, 17458, 52476;
77, 26485, 91317;
8, 6128, 18516;
56, 21218, 69930;
61, 28600, 93246;
24, 4721, 15319;
56, 14979, 51213;
35, 6530, 22044;
71, 802, 12492;
48, 26294, 83494;
41, 4208, 15990;
80, 11348, 46848;
15, 23800, 71854;
56, 22508, 73800;
45, 3992, 16030;
18, 15674, 47674;
45, 21396, 68242;
67, 26700, 89082;
71, 20750, 72336;
86, 23271, 84609;
69, 84, 9778;
71, 14632, 53982;
97, 9626, 47700;
54, 10599, 37633;
65, 15386, 54612;
45, 27488, 86518;
75, 1289, 15121;
15, 27285, 82309;
13, 19740, 59562;
7, 20462, 61488;
42, 3226, 13210;
28, 22179, 68109;
34, 5956, 20184;
98, 26715, 99357;
14, 28578, 86130;
33, 17558, 54856;
19, 16064, 48918;
84, 14152, 56572;
53, 24553, 79281;
21, 8902, 27592;
59, 22963, 75855;
99, 24806, 94024;
14, 26684, 80448;
3, 16226, 48700;
29, 1922, 7452;
80, 7038, 33918;
82, 22041, 79575;
81, 24811, 87559;
74, 5960, 28836;
56, 28650, 92226;
6, 2309, 7003;
69, 11957, 45397;
27, 8307, 26383;
51, 18970, 62116;
87, 20729, 77329;
50, 26985, 85959;
80, 4901, 27507;
92, 22928, 85716;
45, 16129, 52441;
65, 29573, 97173;
27, 15044, 46594;
38, 16868, 53496;
65, 28060, 92634;
93, 10714, 49444;
59, 20394, 68148;
19, 6977, 21657;
19, 15182, 46272;
29, 3084, 10938;
73, 25510, 87192;
48, 17126, 55990;
4, 5201, 15639;
90, 13590, 56974;
17, 7801, 23985;
22, 1654, 5934;
60, 5904, 24916;
19, 9156, 28194;
62, 19033, 64791;
63, 24168, 80446;
30, 2219, 8461;
12, 21303, 64201;
2, 12402, 37218;
6, 6824, 20548;
32, 6518, 21606;
83, 9061, 40965;
19, 17760, 54006;
26, 1780, 6696;
48, 1098, 7906;
58, 4502, 20238;
46, 9654, 33198;
67, 367, 10083;
61, 15602, 54252;
51, 16616, 55054;
78, 25210, 87802;
50, 8274, 29826;
26, 4302, 14262;
50, 21196, 68592;
78, 7590, 34942;
20, 12902, 39510;
97, 16180, 67362;
99, 3974, 31528;
28, 377, 2703;
59, 3979, 18903;
70, 1018, 12858;
65, 24241, 81177;
2, 18148, 54456;
25, 14644, 45186;
86, 12590, 52566;
43, 4025, 15777;
17, 11822, 36048;
11, 19177, 57777;
40, 9102, 30510;
55, 29279, 93891;
80, 28496, 98292;
83, 15044, 58914;
79, 1808, 17910;
75, 16184, 59806;
78, 7305, 34087;
67, 27124, 90354;
94, 27483, 100125;
90, 20526, 77782;
10, 5132, 15600;
39, 1341, 7069;
51, 10316, 36154;
13, 10494, 31824;
0, 19581, 58747;
74, 13686, 52014;
69, 4722, 23692;
71, 20409, 71313;
99, 29047, 106747;
30, 8202, 26410;
10, 2658, 8178;
44, 19, 3933;
77, 20489, 73329;
16, 14200, 43116;
89, 6948, 36690;
43, 28119, 88059;
53, 4916, 20370;
1, 23506, 70524;
45, 2772, 12370;
8, 1105, 3447;
82, 20591, 75225;
15, 19265, 58249;
48, 25347, 80653;
74, 23714, 82098;
45, 25636, 80962;
45, 25216, 79702;
1, 27459, 82383;
70, 18543, 65433;
55, 7728, 29238;
23, 11613, 35901;
59, 13022, 46032;
3, 4978, 14956;
4, 15975, 47961;
87, 18235, 69847;
64, 31, 8289;
76, 16904, 62268;
37, 16653, 52701;
59, 2962, 15852;
90, 20167, 76705;
77, 24289, 84729;
18, 1582, 5398;
28, 5741, 18795;
33, 16554, 51844;
17, 9092, 27858;
29, 2055, 7851;
56, 5355, 22341;
19, 1552, 5382;
9, 28872, 86782;
26, 938, 4170;
89, 26047, 93987;
43, 14405, 46917;
28, 5980, 19512;
29, 6494, 21168;
12, 2481, 7735;
43, 17224, 55374;
18, 28736, 86860;
48, 24365, 77707;
27, 25627, 78343;
65, 10832, 40950;
82, 17737, 66663;
82, 660, 15432;
63, 19308, 65866;
90, 7234, 37906;
71, 2465, 17481;
8, 17671, 53145;
79, 27048, 93630;
94, 22588, 85440;
78, 25157, 87643;
51, 18538, 60820;
67, 27877, 92613;
34, 25102, 77622;
38, 2389, 10059;
80, 11161, 46287;
74, 2000, 16956;
26, 1723, 6525;
55, 16519, 55611;
43, 433, 5001;
77, 16934, 62664;
35, 12541, 40077;
64, 13765, 49491;
61, 22661, 75429;
81, 6460, 32506;
2, 3518, 10566;
69, 24458, 82900;
47, 12602, 42228;
61, 28792, 93822;
59, 159, 7443;
14, 19321, 58359;
56, 28843, 92805;
17, 20949, 63429;
56, 26741, 86499;
2, 1750, 5262;
43, 16886, 54360;
8, 2354, 7194;
55, 13255, 45819;
24, 8443, 26485;
22, 2092, 7248;
31, 20164, 62418;
59, 17746, 60204;
77, 8181, 36405;
88, 10965, 48387;
80, 25520, 89364;
95, 10373, 49173;
80, 27876, 96432;
76, 12906, 50274;
16, 9842, 30042;
66, 5638, 25630;
77, 12942, 50688;
28, 13529, 42159;
86, 6504, 34308;
93, 18475, 72727;
91, 19212, 74202;
15, 4613, 14293;
86, 855, 17361;
29, 8065, 25881;
46, 2124, 10608;
71, 67, 10287;
30, 10710, 33934;
86, 5960, 32676;
42, 19598, 62326;
60, 26847, 87745;
52, 2238, 12126;
8, 2548, 7776;
10, 29415, 88449;
38, 5268, 18696;
89, 16512, 65382;
2, 17838, 53526;
1, 1985, 5961;
27, 10263, 32251;
44, 6351, 22929;
87, 28881, 101785;
48, 20824, 67084;
11, 28813, 86685;
29, 14897, 46377;
19, 15982, 48672;
71, 10302, 40992;
19, 16, 774;
83, 25747, 91023;
12, 29385, 88447;
19, 8152, 25182;
6, 6703, 20185;
79, 13554, 53148;
70, 14298, 52698;
59, 2480, 14406;
95, 28779, 104391;
94, 17890, 71346;
45, 16844, 54586;
92, 2017, 22983;
89, 11962, 51732;
79, 8203, 37095;
23, 17281, 52905;
66, 4542, 22342;
57, 22535, 74107;
86, 1399, 18993;
7, 13068, 39306;
98, 28715, 105357;
52, 29360, 93492;
95, 19461, 76437;
64, 24118, 80550;
31, 11313, 35865;
86, 1287, 18657;
1, 10761, 32289;
24, 20218, 61810;
48, 3247, 14353;
0, 25042, 75130;
63, 1402, 12148;
2, 9, 39;
65, 28372, 93570;
67, 17612, 61818;
86, 29811, 104229;
72, 24902, 85078;
2, 28326, 84990;
55, 16161, 54537;
64, 28419, 93453;
21, 11338, 34900;
50, 24446, 78342;
57, 29685, 95557;
47, 908, 7146;
88, 2274, 22314;
21, 5257, 16657;
5, 9438, 28368;
12, 2087, 6553;
95, 396, 19242;
67, 1049, 12129;
69, 3685, 20581;
89, 6719, 36003;
53, 18430, 60912;
15, 1250, 4204;
52, 5257, 21183;
92, 6962, 37818;
56, 18847, 62817;
53, 15501, 52125;
83, 16189, 62349;
66, 9395, 36901;
36, 5132, 17992;
16, 10296, 31404;
52, 1765, 10707;
76, 28506, 97074;
86, 2452, 22152;
4, 16100, 48336;
34, 28892, 88992;
53, 18515, 61167;
74, 26044, 89088;
93, 17718, 70456;
34, 1729, 7503;
2, 25051, 75165;
22, 4540, 14592;
34, 15143, 47745;
5, 23781, 71397;
36, 29638, 91510;
80, 18688, 68868;
99, 9349, 47653;
76, 2799, 19953;
18, 11259, 34429;
0, 3496, 10492;
40, 8559, 28881;
63, 7225, 29617;
17, 28406, 85800;
64, 27913, 91935;
52, 22236, 72120;
86, 29280, 102636;
66, 26693, 88795;
78, 5161, 27655;
26, 10004, 31368;
83, 14071, 55995;
23, 27404, 83274;
70, 13383, 49953;
8, 14901, 44835;
10, 10245, 30939;
86, 8834, 41298;
69, 14161, 52009;
7, 22192, 66678;
11, 13442, 40572;
32, 4721, 16215;
27, 17515, 54007;
12, 2506, 7810;
15, 26846, 80992;
4, 26554, 79698;
61, 5231, 23139;
26, 8220, 26016;
0, 11130, 33394;
38, 6350, 21942;
28, 5736, 18780;
41, 28179, 87903;
5, 18733, 56253;
72, 22070, 76582;
96, 25621, 95299;
33, 26737, 82393;
59, 20929, 69753;
4, 19212, 57672;
74, 1644, 15888;
21, 3273, 10705;
22, 17524, 53544;
84, 11648, 49060;
79, 2581, 20229;
29, 6663, 21675;
33, 3191, 11755;
41, 8020, 27426;
54, 25579, 82573;
32, 6374, 21174;
6, 19825, 59551;
88, 24161, 87975;
94, 9599, 46473;
46, 13432, 44532;
10, 2765, 8499;
16, 17679, 53553;
57, 404, 7714;
95, 25249, 93801;
27, 24104, 73774;
94, 6880, 38316;
15, 8355, 25519;
94, 23708, 88800;
45, 8181, 28597;
8, 13542, 40758;
53, 17753, 58881;
80, 26485, 92259;
12, 2009, 6319;
94, 26185, 96231;
50, 16660, 54984;
6, 27789, 83443;
93, 16191, 65875;
72, 16578, 60106;
2, 14442, 43338;
82, 25114, 88794;
77, 772, 14178;
34, 9506, 30834;
57, 14242, 49228;
51, 932, 8002;
29, 8188, 26250;
99, 9164, 47098;
4, 5944, 17868;
12, 23177, 69823;
84, 16236, 62824;
31, 11574, 36648;
57, 12382, 43648;
42, 5754, 20794;
92, 910, 19662;
20, 4717, 14955;
74, 24950, 85806;
63, 13820, 49402;
77, 29712, 100998;
52, 21902, 71118;
39, 25241, 78769;
23, 2488, 8526;
64, 14997, 53187;
22, 19021, 58035;
61, 27155, 88911;
62, 18154, 62154;
69, 12082, 45772;
57, 1650, 11452;
83, 8420, 39042;
76, 3078, 20790;
50, 13554, 45666;
92, 8791, 43305;
16, 26432, 79812;
16, 23822, 71982;
86, 26195, 93381;
81, 18796, 69514;
30, 26896, 82492;
70, 4653, 23763;
55, 4550, 19704;
65, 6835, 28959;
49, 623, 6675;
89, 21856, 81414;
8, 1587, 4893;
45, 22852, 72610;
3, 29742, 89248;
1, 1480, 4446;
0, 12147, 36445;
36, 27849, 86143;
6, 26705, 80191;
18, 10777, 32983;
89, 725, 18021;
3, 12803, 38431;
77, 18063, 66051;
80, 21822, 78270;
97, 15257, 64593;
4, 6980, 20976;
6, 22742, 68302;
21, 691, 2959;
97, 26488, 98286;
52, 8435, 30717;
65, 16325, 57429;
38, 25881, 80535;
33, 17178, 53716;
16, 523, 2085;
32, 14128, 44436;
14, 17381, 52539;
29, 26270, 80496;
80, 21660, 77784;
30, 10911, 34537;
77, 13282, 51708;
75, 16918, 62008;
23, 26185, 79617;
72, 6607, 30193;
86, 8106, 39114;
91, 27144, 97998;
12, 27848, 83836;
27, 19760, 60742;
77, 8241, 36585;
62, 13294, 47574;
13, 1637, 5253;
59, 23141, 76389;
46, 9530, 32826;
39, 8887, 29707;
90, 2687, 24265;
49, 919, 7563;
49, 28128, 89190;
1, 9028, 27090;
94, 10761, 49959;
95, 9699, 47151;
40, 20751, 65457;
67, 6379, 28119;
83, 24587, 87543;
82, 6647, 33393;
72, 22024, 76444;
26, 14839, 45873;
17, 12831, 39075;
55, 3193, 15633;
56, 7392, 28452;
43, 15399, 49899;
31, 16628, 51810;
71, 18576, 65814;
48, 5889, 22279;
38, 20779, 65229;
38, 10446, 34230;
33, 4504, 15694;
75, 4008, 23278;
28, 29482, 90018;
63, 12804, 46354;
5, 22435, 67359;
10, 1125, 3579;
54, 318, 6790;
9, 20864, 62758;
95, 15347, 64095;
83, 19870, 73392;
20, 11254, 34566;
41, 1043, 6495;
0, 25985, 77959;
30, 5901, 19507;
47, 12755, 42687;
21, 14558, 44560;
49, 9593, 33585;
15, 10302, 31360;
99, 27596, 102394;
6, 11770, 35386;
5, 27579, 82791;
74, 2017, 17007;
65, 10698, 40548;
14, 17617, 53247;
32, 2907, 10773;
34, 11838, 37830;
42, 24364, 76624;
18, 18611, 56485;
87, 20258, 75916;
43, 10700, 35802;
75, 8005, 35269;
60, 17538, 59818;
49, 24075, 77031;
49, 15256, 50574;
31, 27097, 83217;
11, 13111, 39579;
69, 28615, 95371;
18, 26069, 78859;
4, 18340, 55056;
74, 91, 11229;
89, 20794, 78228;
15, 2438, 7768;
39, 14034, 45148;
33, 22669, 70189;
53, 14587, 49383;
8, 24325, 73107;
27, 26504, 80974;
56, 18946, 63114;
42, 27608, 86356;
63, 16000, 55942;
33, 18522, 57748;
61, 13569, 48153;
55, 12623, 43923;
25, 14455, 44619;
71, 25298, 85980;
79, 3171, 21999;
99, 6166, 38104;
29, 2319, 8643;
28, 2032, 7668;
77, 26138, 90276;
93, 2709, 25429;
71, 6786, 30444;
34, 19620, 61176;
23, 23462, 71448;
15, 13159, 39931;
46, 1164, 7728;
33, 22102, 68488;
54, 15009, 50863;
95, 12764, 56346;
43, 17087, 54963;
57, 558, 8176;
67, 1332, 12978;
2, 7802, 23418;
80, 2561, 20487;
88, 7052, 36648;
24, 17055, 52321;
80, 24439, 86121;
82, 5129, 28839;
81, 1186, 16684;
59, 8118, 31320;
92, 19776, 76260;
83, 2581, 21525;
54, 22229, 72523;
37, 24415, 75987;
99, 9973, 49525;
20, 9847, 30345;
79, 31, 12579;
96, 6933, 39235;
77, 22251, 78615;
68, 21283, 73101;
85, 11952, 50310;
29, 21351, 65739;
89, 1833, 21345;
23, 22371, 68175;
12, 14729, 44479;
75, 20601, 73057;
11, 1516, 4794;
24, 24659, 75133;
77, 223, 12531;
6, 21122, 63442;
12, 1267, 4093;
4, 22885, 68691;
40, 16558, 52878;
69, 4685, 23581;
76, 26611, 91389;
61, 5342, 23472;
43, 29283, 91551;
60, 4537, 20815;
73, 1332, 14658;
72, 17496, 62860;
30, 2401, 9007;
3, 15416, 46270;
10, 24050, 72354;
55, 16702, 56160;
69, 2637, 17437;
41, 22356, 70434;
92, 18669, 72939;
7, 9555, 28767;
5, 12674, 38076;
5, 17189, 51621;
28, 11289, 35439;
27, 13099, 40759;
11, 2990, 9216;
5, 2780, 8394;
23, 4383, 14211;
75, 3759, 22531;
59, 1586, 11724;
50, 17723, 58173;
69, 2522, 17092;
91, 17821, 70029;
59, 29110, 94296;
66, 17691, 61789;
99, 25819, 97063;
73, 10247, 41403;
30, 5075, 17029;
74, 6629, 30843;
37, 12773, 41061;
62, 28880, 94332;
29, 5015, 16731;
32, 24601, 75855;
41, 5746, 20604;
10, 15922, 47970;
49, 13829, 46293;
46, 25034, 79338;
13, 29229, 88029;
79, 23098, 81780;
30, 27283, 83653;
93, 1824, 22774;
37, 21365, 66837;
14, 21321, 64359;
22, 10154, 31434;
59, 5845, 24501;
42, 15328, 49516;
35, 25749, 79701;
92, 5929, 34719;
94, 18104, 71988;
96, 13494, 58918;
20, 11943, 36633;
5, 4833, 14553;
98, 7213, 40851;
69, 13169, 49033;
1, 16347, 49047;
91, 28954, 103428;
15, 7339, 22471;
16, 20036, 60624;
7, 27875, 83727;
85, 8462, 39840;
28, 20028, 61656;
28, 16529, 51159;
72, 1044, 13504;
20, 5993, 18783;
53, 2049, 11769;
38, 16242, 51618;
80, 4055, 24969;
26, 2767, 9657;
98, 4779, 33549;
43, 7729, 26889;
4, 2889, 8703;
41, 85, 3621;
2, 6403, 19221;
55, 17103, 57363;
90, 3739, 27421;
12, 10247, 31033;
61, 26724, 87618;
50, 27265, 86799;
2, 28067, 84213;
27, 2401, 8665;
94, 315, 18621;
55, 15918, 53808;
0, 25994, 77986;
66, 2726, 16894;
18, 606, 2470;
8, 14066, 42330;
64, 9548, 36840;
5, 1868, 5658;
47, 9074, 31644;
76, 21150, 75006;
40, 9787, 32565;
19, 22685, 68781;
26, 8595, 27141;
41, 6198, 21960;
90, 21628, 81088;
11, 22040, 66366;
14, 9136, 27804;
43, 27762, 86988;
19, 1927, 6507;
69, 18430, 64816;
82, 4380, 26592;
86, 13886, 56454;
61, 19115, 64791;
27, 26886, 82120;
55, 526, 7632;
48, 21306, 68530;
98, 89, 19479;
13, 17113, 51681;
68, 18962, 66138;
73, 23610, 81492;
58, 5269, 22539;
32, 23190, 71622;
59, 29862, 96552;
68, 14791, 53625;
41, 8600, 29166;
72, 11599, 45169;
27, 14750, 45712;
33, 2204, 8794;
3, 3120, 9382;
78, 1883, 17821;
80, 25520, 89364;
74, 20010, 70986;
98, 4686, 33270;
59, 27330, 88956;
49, 17961, 58689;
21, 2021, 6949;
36, 26806, 83014;
7, 26596, 79890;
58, 3430, 17022;
9, 18868, 56770;
74, 13187, 50517;
67, 28114, 93324;
7, 24411, 73335;
17, 20117, 60933;
66, 20129, 69103;
55, 3299, 15951;
60, 19472, 65620;
3, 246, 760;
82, 26193, 92031;
44, 18528, 59460;
46, 3615, 15081;
41, 29, 3453;
46, 24489, 77703;
75, 17161, 62737;
56, 6968, 27180;
16, 29634, 89418;
86, 4369, 27903;
5, 15246, 45792;
23, 1181, 4605;
8, 23728, 71316;
90, 19143, 73633;
9, 22807, 68587;
77, 10150, 42312;
22, 23847, 72513;
85, 12124, 50826;
81, 18364, 68218;
55, 11838, 41568;
27, 29548, 90106;
14, 23605, 71211;
1, 9485, 28461;
48, 24419, 77869;
13, 17271, 52155;
82, 25098, 88746;
27, 15499, 47959;
64, 16298, 57090;
89, 15221, 61509;
83, 3434, 24084;
81, 5165, 28621;
37, 441, 4065;
24, 2116, 7504;
74, 2565, 18651;
6, 18653, 56035;
85, 18124, 68826;
44, 23034, 72978;
95, 5409, 34281;
73, 15097, 55953;
5, 12081, 36297;
66, 814, 11158;
60, 8758, 33478;
64, 2770, 16506;
92, 15052, 62088;
46, 10092, 34512;
18, 546, 2290;
6, 25904, 77788;
86, 1123, 18165;
12, 23509, 70819;
19, 15269, 46533;
46, 8140, 28656;
94, 3090, 26946;
35, 16253, 51213;
77, 5430, 28152;
2, 9684, 29064;
57, 29672, 95518;
44, 1532, 8472;
57, 8541, 32125;
5, 13418, 40308;
93, 13384, 57454;
76, 4382, 24702;
29, 15686, 48744;
9, 26405, 79381;
26, 17018, 52410;
63, 25955, 85807;
87, 7796, 38530;
85, 5263, 30243;
56, 18008, 60300;
14, 28287, 85257;
79, 15164, 57978;
25, 1398, 5448;
75, 10961, 44137;
98, 5083, 34461;
6, 838, 2590;
29, 15195, 47271;
97, 2361, 25905;
46, 7442, 26562;
57, 26640, 86422;
70, 10518, 41358;
4, 9143, 27465;
93, 26229, 95989;
42, 13674, 44554;
65, 25392, 84630;
25, 20966, 64152;
37, 25991, 80715;
59, 14843, 51495;
69, 17015, 60571;
15, 25908, 78178;
45, 2130, 10444;
69, 16314, 58468;
41, 5550, 20016;
54, 2630, 13726;
32, 9168, 29556;
3, 21622, 64888;
28, 11786, 36930;
84, 866, 16714;
25, 21651, 66207;
84, 25167, 89617;
83, 15286, 59640;
43, 7939, 27519;
1, 22302, 66912;
64, 6202, 26802;
83, 1312, 17718;
49, 18521, 60369;
48, 21113, 67951;
48, 8833, 31111;
1, 11626, 34884;
90, 12726, 54382;
52, 12769, 43719;
33, 13121, 41545;
12, 27914, 84034;
46, 12370, 41346;
23, 22853, 69621;
41, 23274, 73188;
98, 16938, 70026;
97, 12792, 57198;
10, 10698, 32298;
82, 12483, 50901;
43, 4920, 18462;
97, 3463, 29211;
5, 22089, 66321;
69, 19299, 67423;
92, 24727, 91113;
19, 9074, 27948;
96, 1996, 24424;
85, 2361, 21537;
73, 20765, 72957;
50, 20033, 65103;
29, 21012, 64722;
77, 10500, 43362;
87, 3731, 26335;
87, 8974, 42064;
75, 742, 13480;
93, 12892, 55978;
80, 29240, 100524;
63, 520, 9502;
28, 121, 1935;
30, 11816, 37252;
90, 318, 17158;
36, 451, 3949;
96, 6681, 38479;
53, 12069, 41829;
92, 14667, 60933;
76, 27045, 92691;
84, 20615, 75961;
20, 10853, 33363;
89, 11513, 50385;
0, 7818, 23458;
80, 4231, 25497;
14, 8142, 24822;
82, 28759, 99729;
31, 1826, 7404;
98, 1889, 24879;
89, 4759, 30123;
96, 21862, 84022;
17, 25214, 76224;
57, 4433, 19801;
7, 20942, 62928;
68, 876, 11880;
80, 11719, 47961;
11, 6695, 20331;
98, 4309, 32139;
98, 7525, 41787;
6, 25783, 77425;
19, 119, 1083;
59, 20448, 68310;
30, 23197, 71395;
1, 4638, 13920;
7, 10777, 32433;
76, 5241, 27279;
98, 5911, 36945;
86, 12382, 51942;
58, 18939, 63549;
74, 29181, 98499;
26, 22041, 67479;
6, 23023, 69145;
36, 10362, 33682;
36, 25116, 77944;
98, 21469, 83619;
52, 18908, 62136;
57, 24061, 78685;
9, 27996, 84154;
28, 29202, 89178;
25, 11332, 35250;
50, 7322, 26970;
82, 9110, 40782;
12, 29785, 89647;
19, 16089, 48993;
21, 21663, 65875;
86, 25720, 91956;
82, 3273, 23271;
47, 16741, 54645;
59, 10506, 38484;
92, 721, 19095;
35, 14444, 45786;
38, 13888, 44556;
69, 13329, 49513;
9, 472, 1582;
71, 27583, 92835;
68, 29403, 97461;
0, 7068, 21208;
31, 950, 4776;
72, 3893, 22051;
72, 57, 10543;
71, 149, 10533;
3, 20999, 63019;
75, 19381, 69397;
5, 19312, 57990;
89, 2095, 22131;
91, 78, 16800;
38, 10007, 32913;
45, 9772, 33370;
1, 5740, 17226;
69, 16302, 58432;
8, 28843, 86661;
8, 5933, 17931;
0, 8869, 26611;
47, 19617, 63273;
77, 2178, 18396;
17, 1428, 4866;
42, 9718, 32686;
53, 14196, 48210;
69, 13795, 50911;
37, 29529, 91329;
42, 15103, 48841;
90, 1945, 22039;
33, 28648, 88126;
3, 10728, 32206;
41, 22421, 70629;
66, 28180, 93256;
51, 7646, 28144;
78, 24192, 84748;
71, 24895, 84771;
86, 27166, 96294;
77, 18905, 68577;
10, 18627, 56085;
78, 4537, 25783;
96, 25990, 96406;
85, 25181, 89997;
16, 18537, 56127;
73, 11124, 44034;
43, 17211, 55335;
68, 22246, 75990;
25, 26044, 79386;
86, 2276, 21624;
13, 2003, 6351;
62, 1121, 11055;
23, 8733, 27261;
73, 15089, 55929;
68, 7159, 30729;
49, 29105, 92121;
88, 6269, 34299;
27, 6551, 21115;
24, 260, 1936;
35, 23595, 73239;
60, 28133, 91603;
47, 19526, 63000;
72, 2107, 16693;
47, 5145, 19857;
39, 4592, 16822;
72, 17522, 62938;
81, 15170, 58636;
36, 10555, 34261;
69, 20300, 70426;
